ID ,Primary_Property_ID ,Property_Name,SV ,Agoda,MMT ,Booking ,Airbnb
5253,5253,The Hydrangeas - Coonoor,https://www.stayvista.com/villa/the-hydrangeas,,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202603051030066130&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000775669https://www.makemytrip.com/hotels/hotel-details/?hotelId=,https://www.booking.com/hotel/in/stayvista-at-the-hydrangeas-with-bbq-amp-bonfire.html,https://www.airbnb.com/rooms/1628089565869784474
5254,5254,Sneh Bliss Villa,https://www.stayvista.com/villa/sneh-bliss-villa,,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202601121120502626&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000720770https://www.makemytrip.com/hotels/hotel-details/?hotelId=,https://www.booking.com/hotel/in/stayvista-at-sneh-bliss-villa-with-pool.html,https://www.airbnb.com/rooms/1596830957818652449
5255,5255,Aradhya Villa,https://www.stayvista.com/villa/aradhya-villa,,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202601311434132345&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000725459https://www.makemytrip.com/hotels/hotel-details/?hotelId=,https://www.booking.com/hotel/in/the-aradhya-villa.html,https://www.airbnb.com/rooms/1604937563436415785
5260,5260,Maison Vera,https://www.stayvista.com/villa/maison-vera,,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202601211617226568&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000723451https://www.makemytrip.com/hotels/hotel-details/?hotelId=,https://www.booking.com/hotel/in/stayvista-at-maison-vera.html,https://www.airbnb.com/rooms/1603371211301598547
5262,5262,Sapphire Shores Beachfront Villa,https://www.stayvista.com/villa/sapphire-shores-beachfront-villa,https://www.agoda.com/en-in/stayvista-at-sapphire-shores/hotel/alibaug-in.html,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202603271124359971&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000781922https://www.makemytrip.com/hotels/hotel-details/?hotelId=,https://www.booking.com/hotel/in/stayvista-at-sapphire-shores-with-lawn-heated-pool.html,https://www.airbnb.com/rooms/1642483955357240032
5264,5264,Terra Palms,https://www.stayvista.com/villa/terra-palms,https://www.agoda.com/stayvista-at-terra-palms/hotel/lonavala-in.html,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202603121357435545&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000777487https://www.makemytrip.com/hotels/hotel-details/?hotelId=,https://www.booking.com/hotel/in/stayvista-at-terra-palms-with-pool-bbq.html,https://www.airbnb.com/rooms/1607857919767658945
5266,5266,Eira Villa,https://www.stayvista.com/villa/eira-villa,https://www.agoda.com/stayvista-at-eira-villa/hotel/tariyod-in.html,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202601271938102761&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000725064https://www.makemytrip.com/hotels/hotel-details/?hotelId=,https://www.booking.com/hotel/in/stayvista-at-eira-villa-with-bonfire-pool-amp-board-games.html,https://www.airbnb.com/rooms/1608509759845182813
5269,5269,Eden Verde,https://www.stayvista.com/villa/eden-verde,https://www.agoda.com/en-in/stayvista-at-eden-verde/hotel/goa-in.html,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202601271639267729&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000724957https://www.makemytrip.com/hotels/hotel-details/?hotelId=,https://www.booking.com/hotel/in/stayvista-at-eden-verde-with-bbq-and-pool.html,https://www.airbnb.com/rooms/1604194374234587968
5272,5134,Aranya @ The Fig Tree Heritage - 4BR,https://www.stayvista.com/villa/aranya-at-the-fig-tree-heritage,,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202601101545433725&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000720441https://www.makemytrip.com/hotels/hotel-details/?hotelId=,https://www.booking.com/hotel/in/stayvista-at-the-fig-tree-heritage.html,https://www.airbnb.com/rooms/1592642288908241406
5273,5134,Dhara @ The Fig Tree Heritage - 3BR,https://www.stayvista.com/villa/dhara-at-the-fig-tree-heritage,,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202601101733532154&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey1000720449https://www.makemytrip.com/hotels/hotel-details/?hotelId=,https://www.booking.com/hotel/in/stayvista-at-the-fig-tree-heritage.html,https://www.airbnb.com/rooms/1592642288908241406
